ID RCTI	00`a01100.m3u8
Paramount Network	01`a00live01`b0098.m3u8
Galaxy Premium SD	01`a00live01`b0029603.m3u8
Galaxy SD	01`a00live01`b0029604.m3u8
HBO Family FHD	01`a00live01`b0030184.m3u8
HBO Family HD	01`a00live01`b00592.m3u8
HBO Family SD	01`a00live01`b0026598.m3u8
HBO FHD	01`a00live01`b001496.m3u8
HBO HD	01`a00live01`b00210.m3u8
HBO Hits FHD	01`a00live01`b0011492.m3u8
HBO Hits HD	01`a00live01`b00591.m3u8
HBO Hits SD	01`a00live01`b0026596.m3u8
HBO SD	01`a00live01`b0026595.m3u8
HBO Signature FHD	01`a00live01`b001498.m3u8
HBO Signature HD	01`a00live01`b00873.m3u8
HBO Signature SD	01`a00live01`b0026597.m3u8
HITS HD	01`a00live01`b001195.m3u8
Hits Movie SD	01`a00live01`b00957.m3u8
IMC SD	01`a00live01`b0035484.m3u8
KIX HD	01`a00live01`b008.m3u8
LifeTime HD	01`a00live01`b00866.m3u8
My Cinema Asia	01`a00live01`b001859.m3u8
Thrill	01`a00live01`b004.m3u8
Warner TV ID HD	01`a00live01`b001533.m3u8
Da Vinci Learning	01`a00live01`b0036729.m3u8
History FHD	01`a00live01`b008131.m3u8
History HD	01`a00live01`b00718.m3u8
Lingua Channel	01`a00live01`b0014944.m3u8
TechStorm	01`a00live01`b00455.m3u8
Animax	01`a00live01`b003.m3u8
Aniplus	01`a00live01`b002.m3u8
Boomerang ID	01`a00live01`b00305.m3u8
Cartoon Network ID HD	01`a00live01`b00680.m3u8
Indi Kids	01`a00live01`b003479.m3u8
My Kidz	01`a00live01`b00213.m3u8
Dream Works HD	01`a00live01`b0032529.m3u8
Dunia Anak	01`a00live01`b00907.m3u8
Horee	01`a00live01`b0014106.m3u8
My Kidz	01`a00live01`b001483.m3u8
.idku	01`a00live01`b0036730.m3u8
AFN HD	01`a00live01`b00807.m3u8
BBC Lifestyle HD	01`a00live01`b0036766.m3u8
Rock Action HD	01`a00live01`b001506.m3u8
Citra Drama	01`a00live01`b00905.m3u8
Eat & Go	01`a00live01`b0026979.m3u8
Fashion TV	01`a00live01`b00280.m3u8
HGTV	01`a00live01`b00537.m3u8
Insert	01`a00live01`b001763.m3u8
TLC HD	01`a00live01`b00352.m3u8
Drama Korea LBS	01`a00live01`b0035769.m3u8
K Plus	01`a00live01`b0018.m3u8
KBS World HD	01`a00live01`b0015057.m3u8
Sony ONE	01`a00live01`b0019.m3u8
TVN ID	01`a00live01`b00767.m3u8
tVN Movies HD	01`a00live01`b00927.m3u8
Citra Dangdut	01`a00live01`b002207.m3u8
i konser	01`a00live01`b0029594.m3u8
MTV LIVE HD	01`a00live01`b009110.m3u8
ONE African TV	01`a00live01`b001731.m3u8
Prambors TV	01`a00live01`b001157.m3u8
BeIN Sport 1 ID	01`a00live01`b00728.m3u8
BeIN Sport 2 ID	01`a00live01`b00729.m3u8
Fight Sports	01`a00live01`b00784.m3u8
Chinese Drama	01`a00live01`b0036733.m3u8
Kungfu TV	01`a00live01`b0029598.m3u8
TVBS News	01`a00live01`b0029600.m3u8
MY Sun Music	01`a00live01`b002555.m3u8
MY ABC AUSTRALIA	01`a00live01`b0037387.m3u8
MY AFN HD	01`a00live01`b0037412.m3u8
MY ANIMAL PLANET HD	01`a00live01`b0037394.m3u8
MY ANIPLUS HD	01`a00live01`b0037439.m3u8
MY AOD 351 HD	01`a00live01`b0037357.m3u8
MY ASTRO ARENA HD	01`a00live01`b0037422.m3u8
MY Astro Aura HD	01`a00live01`b0037468.m3u8
MY ASTRO CRICKET	01`a00live01`b0037438.m3u8
MY ASTRO OASIS HD	01`a00live01`b0037334.m3u8
MY Astro Premier	01`a00live01`b0037348.m3u8
MY Astro Rania HD	01`a00live01`b0037467.m3u8
MY AXN HD	01`a00live01`b0037406.m3u8
MY BBC Earth HD	01`a00live01`b0037449.m3u8
MY BBC Lifestyle	01`a00live01`b0037450.m3u8
MY Bein Sports 2	01`a00live01`b0048099.m3u8
MY bEIN Sports 3	01`a00live01`b0037433.m3u8
MY beIN SPORTS	01`a00live01`b0037432.m3u8
MY BLOOMBERG TV	01`a00live01`b0037386.m3u8
MY BOO	01`a00live01`b0037457.m3u8
MY CCTV4 HD	01`a00live01`b0037364.m3u8
MY CELESTIAL HD	01`a00live01`b0037355.m3u8
MY CGTN	01`a00live01`b0037379.m3u8
MY Chutti TV	01`a00live01`b0048089.m3u8
MY CNA HD	01`a00live01`b0037384.m3u8
MY CNBC	01`a00live01`b0037385.m3u8
MY CNN HD	01`a00live01`b0048093.m3u8
MY COLORS TAMIL	01`a00live01`b0037346.m3u8
MY DISCOVERY HD	01`a00live01`b0037390.m3u8
MY DW HD	01`a00live01`b0037441.m3u8
MY FOOD NTWK HD	01`a00live01`b0037411.m3u8
MY France 24 HD	01`a00live01`b0048101.m3u8
MY Global Trekker	01`a00live01`b0037335.m3u8
MY HGTV HD	01`a00live01`b0037416.m3u8
MY HITS HD	01`a00live01`b0037409.m3u8
MY HITS MOVIES HD	01`a00live01`b0037373.m3u8
MY KBS World HD	01`a00live01`b0037369.m3u8
MY KPlus HD	01`a00live01`b0048100.m3u8
MY KTV HD	01`a00live01`b0048102.m3u8
MY Love Nature	01`a00live01`b0037333.m3u8
MY Moonbug Kids	01`a00live01`b0037460.m3u8
MY NATGEO PEOPLE	01`a00live01`b0037413.m3u8
MY NICK JR	01`a00live01`b0037405.m3u8
MY NICKELODEON HD	01`a00live01`b0037404.m3u8
MY ONE HD	01`a00live01`b0037370.m3u8
MY PRemier Sports	01`a00live01`b0048106.m3u8
MY PrimeTime	01`a00live01`b0037458.m3u8
MY Showcase Movies	01`a00live01`b0037428.m3u8
MY SPOTV	01`a00live01`b0037443.m3u8
MY SUN TV HD	01`a00live01`b0037347.m3u8
MY TA-DAA	01`a00live01`b0037445.m3u8
MY TLC HD	01`a00live01`b0037410.m3u8
MY TV ALHIJRAH	01`a00live01`b0037337.m3u8
MY TV1	01`a00live01`b0037446.m3u8
MY TV2	01`a00live01`b0037447.m3u8
MY TVB Classic	01`a00live01`b0048090.m3u8
MY TVB JADE	01`a00live01`b0037356.m3u8
MY TVB XING HE HD	01`a00live01`b0037360.m3u8
MY tvN HD	01`a00live01`b0037372.m3u8
MY tvN Movies	01`a00live01`b0037376.m3u8
MY WWE NETWORK	01`a00live01`b0037435.m3u8
MY Zee Cinema HD	01`a00live01`b0037332.m3u8
-----|USA|------	^--
US001:A&E HD	00`d003167.m3u8
US002:ABC HD	00`d003166.m3u8
US003:ABC-NEWS	00`d003165.m3u8
US004:ABC 7	00`d003164.m3u8
US005:ACTION MAX	00`d003163.m3u8
US006:AMC HD	00`d003162.m3u8
US007:Animal Planet HD	00`d003161.m3u8
US008:BBC America HD	00`d003160.m3u8
US009:BeIN Sports 1 HD	00`d003159.m3u8
US010:BET HD	00`d003158.m3u8
US011:BRAVO HD	00`d003157.m3u8
US012:PAC-12 Washington	00`d003156.m3u8
US013:PAC-12 Los Angeles	00`d003155.m3u8
US014:PAC-12 Oregon	00`d003154.m3u8
US015:Viceland HD	00`d003153.m3u8
US016:Cartoon Network HD	00`d003152.m3u8
US017:CBS-HD	00`d003151.m3u8
US018:CBSN HD	00`d003150.m3u8
US019:STARZ EAST	00`d003149.m3u8
US020:CNBC HD	00`d003148.m3u8
US021:CNN HD	00`d003147.m3u8
US022:Comedy Central HD	00`d003146.m3u8
US023:CW HD	00`d003145.m3u8
US024:Destination America HD	00`d003144.m3u8
US025:Discovery HD	00`d003143.m3u8
US026:Disney Channel HD	00`d003142.m3u8
US027:Disney JR HD	00`d003141.m3u8
US028:Disney XD HD	00`d003140.m3u8
US029:DIY Network HD	00`d003139.m3u8
US030:E! HD	00`d003138.m3u8
US031:ESPN-2	00`d003137.m3u8
US032:ESPN-HD	00`d003136.m3u8
US033:ESPN-News	00`d003135.m3u8
US034:ESPN-U	00`d003134.m3u8
US035:Food Network HD	00`d003133.m3u8
US036:FOX-HD	00`d003132.m3u8
US037:FOX-News	00`d003131.m3u8
US038:FOX-Sports1	00`d003130.m3u8
US039:FOX-Sports2	00`d003129.m3u8
US040:Freeform HD	00`d003128.m3u8
US041:FX HD	00`d003127.m3u8
US042:FXX HD	00`d003126.m3u8
US043:Hallmark Channel	00`d003125.m3u8
US044:Hallmark Movies & Mysteries	00`d003124.m3u8
US045:HBO Comedy	00`d003123.m3u8
US046:HBO East	00`d003122.m3u8
US047:HBO Signature	00`d003121.m3u8
US048:HBO Zone	00`d003120.m3u8
US049:HGTV HD	00`d003119.m3u8
US050:History HD	00`d003118.m3u8
US051:Investigation Discovery HD	00`d003117.m3u8
US052:TV Land HD	00`d003116.m3u8
US053:Lifetime HD	00`d003115.m3u8
US054:Lifetime Movie	00`d003114.m3u8
US055:HBO 2	00`d003113.m3u8
US057:MSNBC HD	00`d003111.m3u8
US058:MTV HD	00`d003110.m3u8
US059:NAT GEO HD	00`d003109.m3u8
US061:NBC-Golf	00`d003107.m3u8
US062:NBC-HD	00`d003106.m3u8
US063:NBCSN HD	00`d003105.m3u8
US065:Nicktoons HD	00`d003103.m3u8
US066:INSP HD	00`d003102.m3u8
US067:Oprah Winfrey Network	00`d003101.m3u8
US068:Discovery Science HD	00`d003100.m3u8
US069:Showtime HD	00`d003099.m3u8
US070:Showtime 2 HD	00`d003098.m3u8
US071:SONIC	00`d003097.m3u8
US072:SyFy HD	00`d003096.m3u8
US073:TBS HD	00`d003095.m3u8
US074:PAC-12 Bay Area	00`d003094.m3u8
US075:TLC HD	00`d003093.m3u8
US076:TNT HD	00`d003092.m3u8
US077:Travel channel	00`d003091.m3u8
US078:TRU TV	00`d003090.m3u8
US079:USA Network HD	00`d003089.m3u8
US080:DEUTSCHE WELLE TV	00`d003088.m3u8
US081:VH1 HD	00`d003087.m3u8
US082:WE TV HD	00`d003086.m3u8
US083:The Weather Channel HD	00`d003085.m3u8
US084:UFC Network	00`d003084.m3u8
US085:WWE-Network	00`d003083.m3u8
US086:Tennis HD	00`d003082.m3u8
US087:NESN	00`d003081.m3u8
US088:CBS Sports Network	00`d003080.m3u8
US090:Fox Sports Yes	00`d003078.m3u8
US091:SEC Network HD	00`d003077.m3u8
US092:Big Ten Network	00`d003076.m3u8
US093:MYTV NEW YORK	00`d003075.m3u8
US094:Fox Business Network	00`d003074.m3u8
US095:PBS Kids HD	00`d003073.m3u8
US096:CBN HD	00`d003072.m3u8
US097:Circle	00`d003071.m3u8
US098:News 12 Westchester	00`d003070.m3u8
US099:Fox Sports NetBase	00`d0030091.m3u8
US100:Fox Sports Sportstime Ohio	00`d0030090.m3u8
US101:Fox Sports Yes Network	00`d0030089.m3u8
US102:Fox Sports San Diego	00`d0030088.m3u8
US103:Fox Sports Sun	00`d0030087.m3u8
US104:Fox Sports Detroit	00`d0030086.m3u8
US105:Fox Sports Ohio	00`d0030085.m3u8
US106:Fox Sports North	00`d0030084.m3u8
US107:Fox Sports Indiana	00`d0030083.m3u8
US108:Fox Sports Florida	00`d0030082.m3u8
US109:Fox Sports Arizona	00`d0030081.m3u8
US110:Fox Sports Wisconsin	00`d0030080.m3u8
US111:Fox Sports West	00`d0030079.m3u8
US112:Fox Sports South	00`d0030078.m3u8
US113:Fox Sports Southeast	00`d0030077.m3u8
US114:Fox Sports Southwest Plus	00`d0030076.m3u8
US115:Fox Sports Southwest	00`d0030075.m3u8
US116:ABC 33 (KSPR) Missouri	00`d0030074.m3u8
US117:Fox Sports 2	00`d0030073.m3u8
US118:Fox Sports Oklahoma	00`d0030072.m3u8
US119:Fox Sacramento	00`d0030071.m3u8
US120:Fox Sports Kansas City Plu	00`d0030070.m3u8
US121:Fox Sports Prime Ticket	00`d0030069.m3u8
US122:NBC 13 (WHO) Des Moines	00`d0030068.m3u8
US123:Root Sports Northwest Plus	00`d0030067.m3u8
US124:AT&T Sportsnet Southwest ALT	00`d0030066.m3u8
US125:AT&T SportsNet Pittsburgh	00`d0030065.m3u8
US126:AT&T SportsNet Pittsburgh Alternate	00`d0030064.m3u8
US933:AT&T SportsNet Southwest	00`d0031051.m3u8
US934:UFC FIGHT PASS	00`d0031050.m3u8
US128:Root Sports Northwest	00`d0030062.m3u8
US130:NAT GEO WILD HD	00`d0030060.m3u8
US131:Game Show Network HD	00`d0030059.m3u8
US132:Stadium Sports 1	00`d0030058.m3u8
US133:Stadium Sports 2	00`d0030057.m3u8
US134:Stadium Sports 3	00`d0030056.m3u8
US135:SportsNet New York	00`d0030055.m3u8
US136:TyC Sports	00`d0030054.m3u8
US137:TCM	00`d0030053.m3u8
US138:MSG HD	00`d0030052.m3u8
US139:MSG 2 HD	00`d0030051.m3u8
US140:MSG Plus	00`d0030050.m3u8
US141:Nickelodeon HD	00`d0030049.m3u8
US142:Marquee Sports Network	00`d0030048.m3u8
US143:AXS TV HD	00`d0030047.m3u8
US144:Bally Sports Carolinas	00`d0030046.m3u8
US145:Fight Network	00`d0030045.m3u8
US146:FNTSY Sports Network	00`d0030044.m3u8
US147:News 12 Connecticut	00`d0030043.m3u8
US148:TRACE URBAN	00`d0030042.m3u8
US149:AT&T Sportsnet	00`d0030041.m3u8
US150:World_Fishing_Network	00`d0030040.m3u8
US151:NESN_BOS	00`d0030039.m3u8
US152:NESN_PLUS	00`d0030038.m3u8
US153:Sportsman_Channel	00`d0030037.m3u8
US154:CBS (KCBS) Los Angeles	00`d0030036.m3u8
US155:Eleven_Sports	00`d0030035.m3u8
US156:NBC_Golf_Channel	00`d0030034.m3u8
US157:NBC Sports Philadelfia	00`d0030033.m3u8
US158:NBC Sports Washington	00`d0030032.m3u8
US159:NBC (WESH)	00`d0030031.m3u8
US160:NBC Sports Chicago	00`d0030030.m3u8
US161:NBC Sports Bay Area	00`d0030029.m3u8
US162:NBC Sports Network	00`d0030028.m3u8
US165:NBC Sports Network	00`d0030025.m3u8
US166:CBS (WWJ) Detroit	00`d0030024.m3u8
US167:BUZZR HD	00`d0030023.m3u8
US168:CBS BOSTON	00`d0030022.m3u8
US169:CBS 7 SEATTLE KIRO-TV	00`d0030021.m3u8
US172:CBS 2 LOS ANGELES	00`d0030018.m3u8
US175:CBS 4 (WIVB) Buffalo	00`d0030015.m3u8
US179:CBS CHARLOTTE	00`d0030011.m3u8
US182:CBS ATLANTA	00`d0030008.m3u8
US184:CBS 58 MILWAUKEE WDJT-TV	00`d0030006.m3u8
US186:CBS 10 COLUMBUS	00`d0030004.m3u8
US187:CBS SAN FRANCISCO	00`d0030003.m3u8
US193:CBS 4 SAINT LUIS KMOV	00`d0029997.m3u8
US197:CBS 3 OMAHA KMTV-TV	00`d0029993.m3u8
US199:CBS GREENSBORO	00`d0029991.m3u8
US200:CBS 4 MINNEAPOLIS WCCO-TV	00`d0029990.m3u8
US201:CBS 13 BALTIMORE	00`d0029989.m3u8
US202:CBS 3 PHILADELPHIA KYW-TV	00`d0029988.m3u8
US203:CBS 3 HARTFORD WFSB	00`d0029987.m3u8
US204:CBS 4 NEW ORLEANS WWL-TV	00`d0029986.m3u8
US205:CBS 4 MIAMI WFOR-TV	00`d0029985.m3u8
US206:CBS 4 DENVER	00`d0029984.m3u8
US207:CBS 46 ATLANTA WGCL-TV	00`d0029983.m3u8
US208:CBS 5 SAN ANTONIO KENS	00`d0029982.m3u8
US209:CBS 5 PHOENIX KPHO-TV	00`d0029981.m3u8
US210:CBS 5 NASHVILLE WTVF	00`d0029980.m3u8
US211:CBS 5 KANSAS CITY KCTV	00`d0029979.m3u8
US212:CBS NEW YORK	00`d0029978.m3u8
US213:CBS 9 (KCAL)	00`d0029977.m3u8
US214:CBS 10 (KLFY) LAFAYETTE	00`d0029976.m3u8
US216:CBS 10 (KOLR) SPRINGFIELD	00`d0029974.m3u8
US217:CBS 6 (WLNS) Lansing	00`d0029973.m3u8
US218:CBS 6 ORLANDO	00`d0029972.m3u8
US219:CBS 10 (WTHI) TERRE HAUTE	00`d0029971.m3u8
US220:CBS (KTVQ) Billings	00`d0029970.m3u8
US221:CBS 11 (KELO) SIOUX FALLS	00`d0029969.m3u8
US222:CBS 11 (KKTV) COLORADO SPRINGS	00`d0029968.m3u8
US223:CBS 11 (KMVT) TWIN FALLS	00`d0029967.m3u8
US224:CBS 11 (KTHV) LITTLE ROCK	00`d0029966.m3u8
US225:CBS 11 (KTVT) FORT WORTH	00`d0029965.m3u8
US226:CBS 9 (WUSA) Washington	00`d0029964.m3u8
US227:CBS 11 (WTOC) SAVANNAH	00`d0029963.m3u8
US228:CBS 11 (WTOL) TOLEDO	00`d0029962.m3u8
US229:CBS 9 (KWTV) Oklahoma City	00`d0029961.m3u8
US231:CBS 12 (KSLA) SHREVEPORT	00`d0029959.m3u8
US232:CBS (KWCH) Wichita-Hutchinson Plus	00`d0029958.m3u8
US233:CBS 12 (WDEF) CHATTANOOGA	00`d0029957.m3u8
US234:CBS 12 (WJTV) JACKSON	00`d0029956.m3u8
US235:BET Jams	00`d0029955.m3u8
US236:CBS 8 (KFMB) San Diego	00`d0029954.m3u8
US238:CBS 12 (WRDW) AUGUSTA	00`d0029952.m3u8
US240:CBS 8 (WVLT) Knoxville	00`d0029950.m3u8
US245:CBS (KVAL) Eugene, Oregon	00`d0029945.m3u8
US246:CBS 8 (WAGM) Presque Isle	00`d0029944.m3u8
US254:CBS 13 (WBTW) FLORENCE	00`d0029936.m3u8
US259:CBS 13 (WGME) PORTLAND/AUBURN	00`d0029931.m3u8
US269:CBS 13 (WJZ) BALTIMORE	00`d0029921.m3u8
US273:CBS 8 (KLAS) Las Vegas	00`d0029917.m3u8
US274:CBS (WCTV) Thomasville, Georgia	00`d0029916.m3u8
US275:CBS 13 (WMAZ) MACON	00`d0029915.m3u8
US276:CBS 6 (KOTV) Tulsa	00`d0029914.m3u8
US277:CBS 58 (WDJT) MILWAUKEE	00`d0029913.m3u8
US278:CBS 47 (WJAX) Jacksonville	00`d0029912.m3u8
US279:CBS 17 (WNCN) GOLDSBORO/RALEIGH/DURHAM	00`d0029911.m3u8
US280:CBS 4 (KDBC) EL PASO TX	00`d0029910.m3u8
US281:CBS 4 (WTVY) Dothan	00`d0029909.m3u8
US282:CBS 19 (WHNT) HUNTSVILLE	00`d0029908.m3u8
US283:CBS 19 (WLTX) COLUMBIA	00`d0029907.m3u8
US284:CBS 2 (KCBS) LOS ANGELES	00`d0029906.m3u8
US285:CBS 2 (KDKA) PITTSBURGH	00`d0029905.m3u8
US286:CBS 9 (KCAL) Los Angeles	00`d0029904.m3u8
US287:CBS 7 (KIRO) SEATTLE	00`d0029903.m3u8
US288:CBS 2 (KTVN) RENO	00`d0029902.m3u8
US289:CBS 2 (KUTV) SALT LAKE CITY	00`d0029901.m3u8
US290:CBS 2 (WBBM) CHICAGO	00`d0029900.m3u8
US291:CBS 12 (WKRC) Cincinnati	00`d0029899.m3u8
US292:CBS 23 (WIFR-LD) ROCKFORD	00`d0029898.m3u8
US293:CBS 27 (WKBN) YOUNGSTOWN	00`d0029897.m3u8
US294:CBS 27 (WKYT) LEXINGTON	00`d0029896.m3u8
US295:CBS 29 (KBAK) BAKERSFIELD	00`d0029895.m3u8
US296:CBS 8 (WROC) Rochester	00`d0029894.m3u8
US297:CBS 26 (WIYE) Parkersburg	00`d0029893.m3u8
US298:CBS (KENS) San Antonio	00`d0029892.m3u8
US299:CBS 3 (KYW) PHILADELPHIA	00`d0029891.m3u8
US300:CBS 8 (WKBT) La Crosse	00`d0029890.m3u8
US301:CBS 3 (WTKR) Hampton Roads	00`d0029889.m3u8
US302:CBS 3 (WISC) MADISON	00`d0029888.m3u8
US303:CBS 3 (WREG) MEMPHIS	00`d0029887.m3u8
US304:CBS 3 (WSHM) SPRINGFIELD	00`d0029886.m3u8
US305:CBS 3 (WWAY) WILMINGTON	00`d0029885.m3u8
US306:CBS (KREX) Grand Junction	00`d0029884.m3u8
US307:CBS (WAKA) Montgomery	00`d0029883.m3u8
US308:CBS (WSPA) Spartanburg	00`d0029882.m3u8
US309:CBS (WMBD) Peoria	00`d0029881.m3u8
US310:CBS 32 (WLKY) LOUISVILLE	00`d0029880.m3u8
US311:CBS 35 (WSEE) ERIE	00`d0029879.m3u8
US312:CBS 3 (WFSB) Hartford	00`d0029878.m3u8
