Qur`an Recitations with Translation (English)<br>	^--
Sûrat Al-Mu'minoon (The Believers) . 40:01	https://quran.islamway.net/quran3/641/023.mp3
Sûrat An-Noor (The Light) . 48:20	https://quran.islamway.net/quran3/641/024.mp3
Sûrat Al-Furqan (The Criterion) . 31:11	https://quran.islamway.net/quran3/641/025.mp3
Sûrat Ash-Shuara (The Poets) . 52:26	https://quran.islamway.net/quran3/641/026.mp3
Sûrat An-Naml (The Ants) . 43:03	https://quran.islamway.net/quran3/641/027.mp3
Sûrat Al-Qasas (The Stories) . 51:11	https://quran.islamway.net/quran3/641/028.mp3
Sûrat Al-Ankaboot (The Spider) . 35:30	https://quran.islamway.net/quran3/641/029.mp3
Sûrat Ar-Room (The Romans) . 31:12	https://quran.islamway.net/quran3/641/030.mp3
Sûrat Luqman . 19:42	https://quran.islamway.net/quran3/641/031.mp3
Sûrat As-Sajdah (The Prostration) . 14:03	https://quran.islamway.net/quran3/641/032.mp3
Sûrat Al-Ahzab (The Combined Forces) . 48:08	https://quran.islamway.net/quran3/641/033.mp3
Sûrat Saba (Sheba) . 31:14	https://quran.islamway.net/quran3/641/034.mp3
Sûrat Fatir (The Orignator) . 28:37	https://quran.islamway.net/quran3/641/035.mp3
Sûrat Ya-seen . 28:16	https://quran.islamway.net/quran3/641/036.mp3
Sûrat As-Saaffat (Those Ranges in Ranks) . 39:55	https://quran.islamway.net/quran3/641/037.mp3
Sûrat Sad (The Letter Sad) . 29:40	https://quran.islamway.net/quran3/641/038.mp3
Sûrat Az-Zumar (The Groups) . 43:40	https://quran.islamway.net/quran3/641/039.mp3
Sûrat Ghafir (The Forgiver God) . 43:30	https://quran.islamway.net/quran3/641/040.mp3
Sûrat Fussilat (Explained in Detail) . 30:52	https://quran.islamway.net/quran3/641/041.mp3
Sûrat Ash-Shura (Consultation) . 31:44	https://quran.islamway.net/quran3/641/042.mp3
Sûrat Az-Zukhruf (The Gold Adornment) . 33:29	https://quran.islamway.net/quran3/641/043.mp3
Sûrat Ad-Dukhan (The Smoke) . 15:34	https://quran.islamway.net/quran3/641/044.mp3
Sûrat Al-Jathiya (Crouching) . 17:32	https://quran.islamway.net/quran3/641/045.mp3
Sûrat Al-Ahqaf (The Curved Sand-hills) . 24:44	https://quran.islamway.net/quran3/641/046.mp3
Sûrat Muhammad . 19:40	https://quran.islamway.net/quran3/641/047.mp3
Sûrat Al-Fath (The Victory) . 20:07	https://quran.islamway.net/quran3/641/048.mp3
Sûrat Al-Hujurat (The Dwellings) . 13:08	https://quran.islamway.net/quran3/641/049.mp3
Sûrat Qaf (The Letter Qaf) . 14:45	https://quran.islamway.net/quran3/641/050.mp3
Sûrat Adh-Dhariyat (The Wind that Scatter) . 14:50	https://quran.islamway.net/quran3/641/051.mp3
Sûrat At-Tur (The Mount) . 13:08	https://quran.islamway.net/quran3/641/052.mp3
Sûrat An-Najm (The Star) . 13:26	https://quran.islamway.net/quran3/641/053.mp3
Sûrat Al-Qamar (The Moon) . 13:35	https://quran.islamway.net/quran3/641/054.mp3
Sûrat Ar-Rahman (The Most Graciouse) . 16:57	https://quran.islamway.net/quran3/641/055.mp3
Sûrat Al-Waqi . 18:33	https://quran.islamway.net/quran3/641/056.mp3
Sûrat Al-Hadid (The Iron) . 21:43	https://quran.islamway.net/quran3/641/057.mp3
Sûrat Al-Mujadilah (She That Disputeth) . 16:57	https://quran.islamway.net/quran3/641/058.mp3
Sûrat Al-Hashr (The Gathering) . 16:52	https://quran.islamway.net/quran3/641/059.mp3
Sûrat Al-Mumtahanah (The Woman to be examined) . 12:32	https://quran.islamway.net/quran3/641/060.mp3
Sûrat As-Saff (The Row) . 7:52	https://quran.islamway.net/quran3/641/061.mp3
Sûrat Al-Jumu'ah (Friday) . 6:05	https://quran.islamway.net/quran3/641/062.mp3
Sûrat Al-Munafiqoon (The Hypocrites) . 6:52	https://quran.islamway.net/quran3/641/063.mp3
Sûrat At-Taghabun (Mutual Loss & Gain) . 9:06	https://quran.islamway.net/quran3/641/064.mp3
Sûrat At-Talaq (The Divorce) . 10:01	https://quran.islamway.net/quran3/641/065.mp3
Sûrat At-Tahrim (The Prohibition) . 9:34	https://quran.islamway.net/quran3/641/066.mp3
Sûrat Al-Mulk (Dominion) . 12:05	https://quran.islamway.net/quran3/641/067.mp3
Sûrat Al-Qalam (The Pen) . 12:22	https://quran.islamway.net/quran3/641/068.mp3
Sûrat Al-Haaqqah (The Inevitable) . 10:54	https://quran.islamway.net/quran3/641/069.mp3
Sûrat Al-Ma'arij (The Ways of Ascent) . 8:35	https://quran.islamway.net/quran3/641/070.mp3
Sûrat Nooh . 7:53	https://quran.islamway.net/quran3/641/071.mp3
Sûrat Al-Jinn (The Jinn) . 9:35	https://quran.islamway.net/quran3/641/072.mp3
Sûrat Al-Muzzammil (The One wrapped in Garments) . 6:58	https://quran.islamway.net/quran3/641/073.mp3
Sûrat Al-Muddaththir (The One Enveloped) . 9:29	https://quran.islamway.net/quran3/641/074.mp3
Sûrat Al-Qiyamah (The Resurrection) . 6:16	https://quran.islamway.net/quran3/641/075.mp3
Sûrat Al-Insan (Man) . 8:53	https://quran.islamway.net/quran3/641/076.mp3
Sûrat Al-Mursalat (Those sent forth) . 8:07	https://quran.islamway.net/quran3/641/077.mp3
Sûrat An-Naba' (The Great News) . 7:36	https://quran.islamway.net/quran3/641/078.mp3
Sûrat An-Nazi'at (Those who Pull Out) . 7:16	https://quran.islamway.net/quran3/641/079.mp3
Sûrat Abasa (He frowned) . 6:03	https://quran.islamway.net/quran3/641/080.mp3
Sûrat At-Takwir (The Overthrowing) . 4:26	https://quran.islamway.net/quran3/641/081.mp3
Sûrat Al-Infitar (The Cleaving) . 3:34	https://quran.islamway.net/quran3/641/082.mp3
Sûrat Al-Mutaffifin (Those Who Deal in Fraud) . 7:47	https://quran.islamway.net/quran3/641/083.mp3
Sûrat Al-Inshiqaq (The Splitting Asunder) . 4:24	https://quran.islamway.net/quran3/641/084.mp3
Sûrat Al-Burooj (The Big Stars) . 5:01	https://quran.islamway.net/quran3/641/085.mp3
Sûrat At-Tariq (The Night-Comer) . 2:44	https://quran.islamway.net/quran3/641/086.mp3
Sûrat Al-A'la (The Most High) . 3:01	https://quran.islamway.net/quran3/641/087.mp3
Sûrat Al-Ghashiya (The Overwhelming) . 3:51	https://quran.islamway.net/quran3/641/088.mp3
Sûrat Al-Fajr (The Dawn) . 5:47	https://quran.islamway.net/quran3/641/089.mp3
Sûrat Al-Balad (The City) . 3:17	https://quran.islamway.net/quran3/641/090.mp3
Sûrat Ash-Shams (The Sun) . 2:32	https://quran.islamway.net/quran3/641/091.mp3
Sûrat Al-Layl (The Night) . 3:13	https://quran.islamway.net/quran3/641/092.mp3
Sûrat Ad-Dhuha (The Forenoon) . 1:53	https://quran.islamway.net/quran3/641/093.mp3
Sûrat As-Sharh (The Opening Forth) . 1:16	https://quran.islamway.net/quran3/641/094.mp3
Sûrat At-Tin (The Fig) . 1:40	https://quran.islamway.net/quran3/641/095.mp3
Sûrat Al-'alaq (The Clot) . 2:44	https://quran.islamway.net/quran3/641/096.mp3
Sûrat Al-Qadr (The Night of Decree) . 1:12	https://quran.islamway.net/quran3/641/097.mp3
Sûrat Al-Bayyinah (The Clear Evidence) . 3:22	https://quran.islamway.net/quran3/641/098.mp3
Sûrat Az-Zalzalah (The Earthquake) . 1:36	https://quran.islamway.net/quran3/641/099.mp3
Sûrat Al-'adiyat (Those That Run) . 1:57	https://quran.islamway.net/quran3/641/100.mp3
Sûrat Al-Qari . 1:44	https://quran.islamway.net/quran3/641/101.mp3
Sûrat At-Takathur (The piling Up) . 1:36	https://quran.islamway.net/quran3/641/102.mp3
Sûrat Al-Asr (The Time) . 0:46	https://quran.islamway.net/quran3/641/103.mp3
Sûrat Al-Humazah (The Slanderer) . 1:34	https://quran.islamway.net/quran3/641/104.mp3
Sûrat Al-Fil (The Elephant) . 1:13	https://quran.islamway.net/quran3/641/105.mp3
Sûrat Quraish . 1:06	https://quran.islamway.net/quran3/641/106.mp3
Sûrat Al-Ma'un (Small Kindnesses) . 1:24	https://quran.islamway.net/quran3/641/107.mp3
Sûrat Al-Kauther (A River in Paradise) . 0:42	https://quran.islamway.net/quran3/641/108.mp3
Sûrat Al-Kafiroon (The Disbelievers) . 1:19	https://quran.islamway.net/quran3/641/109.mp3
Sûrat An-Nasr (The Help) . 0:57	https://quran.islamway.net/quran3/641/110.mp3
Sûrat Al-Masad (The Palm Fibre) . 1:09	https://quran.islamway.net/quran3/641/111.mp3
Sûrat Al-Ikhlas (Sincerity) . 0:41	https://quran.islamway.net/quran3/641/112.mp3
Sûrat Al-Falaq (The Daybreak) . 0:56	https://quran.islamway.net/quran3/641/113.mp3
Sûrat An-Nas (Mankind) . 1:17	https://quran.islamway.net/quran3/641/114.mp3
<br>Qur`an Recitations with Translation (Melayu)<br>	^--
Surah Al-Fatihah (Pembukaan) . 1:40	https://archive.org/download/MurotalMR/001.mp3
Surah Al-Baqarah (Lembu Betina) . 3:54:59	https://archive.org/download/MurotalMR/002.mp3
Surah Ali 'Imran (Keluarga Imran) . 2:25:58	https://archive.org/download/MurotalMR/003.mp3
Surah An-Nisaa' (Wanita) . 2:31:48	https://archive.org/download/MurotalMR/004.mp3
Surah Al-Maa'idah (Hidangan) . 1:57:09	https://archive.org/download/MurotalMR/005.mp3
Surah Al-An'aam (Binatang Ternakan) . 2:15:44	https://archive.org/download/MurotalMR/006.mp3
Surah Al-A'raaf (Tempat Tertinggi) . 2:27:15	https://archive.org/download/MurotalMR/007.mp3
Surah Al-Anfaal (Rampasan Perang) . 56:37	https://archive.org/download/MurotalMR/008.mp3
Surah At-Taubah (Pengampunan) . 1:52:25	https://archive.org/download/MurotalMR/009.mp3
Surah Yunus (Nabi Yunus a.s.) . 1:21:09	https://archive.org/download/MurotalMR/010.mp3
Surah Hud (Nabi Hud a.s.) . 1:26:25	https://archive.org/download/MurotalMR/011.mp3
Surah Yusuf (Nabi Yusuf a.s.) . 1:17:41	https://archive.org/download/MurotalMR/012.mp3
Surah Ar-Ra'd (Guruh) . 37:10	https://archive.org/download/MurotalMR/013.mp3
Surah Ibrahim (Nabi Ibrahim a.s.) . 39:20	https://archive.org/download/MurotalMR/014.mp3
Surah Al-Hijr (Kawasan Berbatu) . 31:14	https://archive.org/download/MurotalMR/015.mp3
Surah An-Nahl (Lebah) . 1:21:51	https://archive.org/download/MurotalMR/016.mp3
Surah Al-Israa' (Perjalanan Malam) . 1:05:13	https://archive.org/download/MurotalMR/017.mp3
Surah Al-Kahfi (Gua) . 1:02:43	https://archive.org/download/MurotalMR/018.mp3
Surah Maryam (Siti Maryam) . 44:01	https://archive.org/download/MurotalMR/019.mp3
Surah Taahaa . 57:42	https://archive.org/download/MurotalMR/020.mp3
Surah Al-Anbiyaa' (Para Nabi) . 52:37	https://archive.org/download/MurotalMR/021.mp3
Surah Al-Hajj (Haji) . 58:07	https://archive.org/download/MurotalMR/022.mp3
Surah Al-Mu'minun (Golongan yang Beriman) . 48:30	https://archive.org/download/MurotalMR/023.mp3
Surah An-Nuur (Cahaya) . 59:07	https://archive.org/download/MurotalMR/024.mp3
Surah Al-Furqaan (Pembeza Kebenaran dan Kebatilan) . 38:48	https://archive.org/download/MurotalMR/025.mp3
Surah Asy-Syu'araa (Para Penyair) . 1:04:54	https://archive.org/download/MurotalMR/026.mp3
Surah An-Naml (Semut) . 53:52	https://archive.org/download/MurotalMR/027.mp3
Surah Al-Qasas (Cerita-cerita) . 1:04:15	https://archive.org/download/MurotalMR/028.mp3
Surah Al-'Ankabut (Labah-labah) . 42:45	https://archive.org/download/MurotalMR/029.mp3
Surah Ar-Rum (Bangsa Rom) . 38:16	https://archive.org/download/MurotalMR/030.mp3
Surah Luqman (Luqman) . 24:42	https://archive.org/download/MurotalMR/031.mp3
Surah As-Sajdah (Sujud) . 17:48	https://archive.org/download/MurotalMR/032.mp3
Surah Al-Ahzab (Golongan yang Bersekutu) . 1:00:32	https://archive.org/download/MurotalMR/033.mp3
Surah Saba' (Kaum Saba') . 41:44	https://archive.org/download/MurotalMR/034.mp3
Surah Faatir (Pencipta) . 36:54	https://archive.org/download/MurotalMR/035.mp3
Surah Yaasin . 35:19	https://archive.org/download/MurotalMR/036.mp3
Surah As-Saaffat (Yang Teratur Berbaris) . 49:16	https://archive.org/download/MurotalMR/037.mp3
Surah Saad . 37:51	https://archive.org/download/MurotalMR/038.mp3
Surah Az-Zumar (Rombongan) . 54:07	https://archive.org/download/MurotalMR/039.mp3
Surah Al-Ghafir / Al-Mu'min (Orang yang Beriman) . 52:52	https://archive.org/download/MurotalMR/040.mp3
Surah Fussilat (Dijelaskan) . 36:44	https://archive.org/download/MurotalMR/041.mp3
Surah Asy-Syuraa (Permesyuaratan) . 36:57	https://archive.org/download/MurotalMR/042.mp3
Surah Az-Zukhruf (Perhiasan Emas) . 39:32	https://archive.org/download/MurotalMR/043.mp3
Surah Ad-Dukhaan (Kabut / Asap) . 18:24	https://archive.org/download/MurotalMR/044.mp3
Surah Al-Jatsiyah (Yang Berlutut) . 21:53	https://archive.org/download/MurotalMR/045.mp3
Surah Al-Ahqaaf (Bukit-bukit Pasir) . 29:32	https://archive.org/download/MurotalMR/046.mp3
Surah Muhammad (Nabi Muhammad SAW) . 25:02	https://archive.org/download/MurotalMR/047.mp3
Surah Al-Fath (Kemenangan) . 24:40	https://archive.org/download/MurotalMR/048.mp3
Surah Al-Hujurat (Bilik-bilik) . 16:27	https://archive.org/download/MurotalMR/049.mp3
Surah Qaaf . 18:09	https://archive.org/download/MurotalMR/050.mp3
Surah Adz-Dzariyaat (Angin yang Menerbangkan) . 18:28	https://archive.org/download/MurotalMR/051.mp3
Surah At-Tur (Bukit) . 16:03	https://archive.org/download/MurotalMR/052.mp3
Surah An-Najm (Bintang) . 16:46	https://archive.org/download/MurotalMR/053.mp3
Surah Al-Qamar (Bulan) . 17:32	https://archive.org/download/MurotalMR/054.mp3
Surah Ar-Rahman (Yang Maha Pemurah) . 19:23	https://archive.org/download/MurotalMR/055.mp3
Surah Al-Waqi'ah (Peristiwa yang Tidak Dapat Dielakkan) . 21:32	https://archive.org/download/MurotalMR/056.mp3
Surah Al-Hadid (Besi) . 25:58	https://archive.org/download/MurotalMR/057.mp3
Surah Al-Mujadilah (Perempuan yang Merayu) . 21:20	https://archive.org/download/MurotalMR/058.mp3
Surah Al-Hasyr (Pengusiran) . 20:29	https://archive.org/download/MurotalMR/059.mp3
Surah Al-Mumtahanah (Perempuan yang Diuji) . 15:20	https://archive.org/download/MurotalMR/060.mp3
Surah As-Saf (Barisan) . 9:22	https://archive.org/download/MurotalMR/061.mp3
Surah Al-Jumu'ah (Hari Jumaat) . 7:09	https://archive.org/download/MurotalMR/062.mp3
Surah Al-Munafiquun (Golongan Munafik) . 8:45	https://archive.org/download/MurotalMR/063.mp3
Surah At-Taghabun (Dinampakkan Kesalahan) . 11:07	https://archive.org/download/MurotalMR/064.mp3
Surah At-Talaq (Cerai / Talak) . 11:42	https://archive.org/download/MurotalMR/065.mp3
Surah At-Tahrim (Mengharamkan) . 11:26	https://archive.org/download/MurotalMR/066.mp3
Surah Al-Mulk (Kerajaan) . 15:30	https://archive.org/download/MurotalMR/067.mp3
Surah Al-Qalam (Pena / Kalam) . 15:37	https://archive.org/download/MurotalMR/068.mp3
Surah Al-Haaqqah (Keadaan Sebenar / Hari Kiamat) . 13:01	https://archive.org/download/MurotalMR/069.mp3
Surah Al-Ma'arij (Tempat-tempat Naik) . 10:19	https://archive.org/download/MurotalMR/070.mp3
Surah Nuh (Nabi Nuh a.s.) . 10:15	https://archive.org/download/MurotalMR/071.mp3
Surah Al-Jin (Jin) . 12:37	https://archive.org/download/MurotalMR/072.mp3
Surah Al-Muzammil (Yang Berselimut) . 8:29	https://archive.org/download/MurotalMR/073.mp3
Surah Al-Muddathir (Yang Berselubung) . 11:36	https://archive.org/download/MurotalMR/074.mp3
Surah Al-Qiyaamah (Hari Kebangkitan / Kiamat) . 6:54	https://archive.org/download/MurotalMR/075.mp3
Surah Al-Insaan (Manusia) . 11:24	https://archive.org/download/MurotalMR/076.mp3
Surah Al-Mursalat (Malaikat Yang Diutus) . 10:34	https://archive.org/download/MurotalMR/077.mp3
Surah An-Naba' (Berita Besar) . 9:20	https://archive.org/download/MurotalMR/078.mp3
Surah An-Naazi'aat (Malaikat Yang Mencabut) . 9:07	https://archive.org/download/MurotalMR/079.mp3
Surah 'Abasa (Dia Bermasam Muka) . 7:09	https://archive.org/download/MurotalMR/080.mp3
Surah At-Takwiir (Menggulung) . 5:18	https://archive.org/download/MurotalMR/081.mp3
Surah Al-Infitar (Terpecah & Terbelah) . 4:19	https://archive.org/download/MurotalMR/082.mp3
Surah Al-Mutaffifiin (Golongan yang Curang) . 9:25	https://archive.org/download/MurotalMR/083.mp3
Surah Al-Insyiqaaq (Terbelah) . 5:20	https://archive.org/download/MurotalMR/084.mp3
Surah Al-Buruj (Gugusan Bintang) . 5:44	https://archive.org/download/MurotalMR/085.mp3
Surah At-Taariq (Pengunjung Malam) . 3:31	https://archive.org/download/MurotalMR/086.mp3
Surah Al-A'laa (Yang Tertinggi) . 3:56	https://archive.org/download/MurotalMR/087.mp3
Surah Al-Ghaasyiah (Peristiwa Menggelisahkan/Hari Pembalasan) . 4:31	https://archive.org/download/MurotalMR/088.mp3
Surah Al-Fajr (Fajar / Sinar Mentari) . 6:47	https://archive.org/download/MurotalMR/089.mp3
Surah Al-Balad (Negeri) . 4:02	https://archive.org/download/MurotalMR/090.mp3
Surah Asy-Syams (Matahari) . 3:01	https://archive.org/download/MurotalMR/091.mp3
Surah Al-Lail (Malam) . 4:13	https://archive.org/download/MurotalMR/092.mp3
Surah Adh-Dhuha (Pagi yang Cemerlang / Matahari Meninggi) . 2:27	https://archive.org/download/MurotalMR/093.mp3
Surah Al-Insyirah/An-Nasyrah (Melapangkan) . 1:24	https://archive.org/download/MurotalMR/094.mp3
Surah At-Tin (Buah Tin / Buah Ara) . 1:56	https://archive.org/download/MurotalMR/095.mp3
Surah Al-'Alaq (Segumpal Darah) . 3:56	https://archive.org/download/MurotalMR/096.mp3
Surah Al-Qadr (Kemuliaan) . 1:20	https://archive.org/download/MurotalMR/097.mp3
Surah Al-Baiyinah (Bukti yang Nyata) . 4:07	https://archive.org/download/MurotalMR/098.mp3
Surah Al-Zalzalah (Kegoncangan) . 2:04	https://archive.org/download/MurotalMR/099.mp3
Surah Al-'Aadiyaat (Yang Berlari Kencang) . 2:21	https://archive.org/download/MurotalMR/100.mp3
Surah Al-Qari'ah (Hari Yang Hingar Bingar/kiamat) . 1:54	https://archive.org/download/MurotalMR/101.mp3
Surah At-Takathur (Bermegah-Megah) . 1:55	https://archive.org/download/MurotalMR/102.mp3
Surah Al-'Asr (Masa) . 0:52	https://archive.org/download/MurotalMR/103.mp3
Surah Al-Humazah (Pengumpat) . 1:48	https://archive.org/download/MurotalMR/104.mp3
Surah Al-Fiil (Gajah) . 1:22	https://archive.org/download/MurotalMR/105.mp3
Surah Quraisy (Kaum Quraisy) . 1:10	https://archive.org/download/MurotalMR/106.mp3
Surah Al-Ma'un (Barangan Berguna) . 1:26	https://archive.org/download/MurotalMR/107.mp3
Surah Al-Kauthar (Sungai Di Syurga) . 0:51	https://archive.org/download/MurotalMR/108.mp3
Surah Al-Kafirun (Golongan Kafir) . 1:26	https://archive.org/download/MurotalMR/109.mp3
Surah An-Nasr (Pertolongan) . 0:58	https://archive.org/download/MurotalMR/110.mp3
Surah Al-Masad / Al-Lahab (Nyalaan Api) . 1:13	https://archive.org/download/MurotalMR/111.mp3
Surah Al-Ikhlas (Tulus Ikhlas / Memurnikan Keesaan Allah) . 0:43	https://archive.org/download/MurotalMR/112.mp3
Surah Al-Falaq (Waktu Subuh / Dinihari) . 1:04	https://archive.org/download/MurotalMR/113.mp3
Surah An-Naas (Manusia) . 1:15	https://archive.org/download/MurotalMR/114.mp3
